locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
ar-QA	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-QA	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SA	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SA	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SD	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SD	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SO	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SO	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SS	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SS	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-SY	wide	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-SY	abbreviated	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-TD	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-TD	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-TN	wide	جانفي	فيفري	مارس	أفريل	ماي	جوان	جويلية	أوت	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-TN	abbreviated	جانفي	فيفري	مارس	أفريل	ماي	جوان	جويلية	أوت	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-YE	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-YE	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
arn	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
arn	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
as	wide	জানুৱাৰী	ফেব্ৰুৱাৰী	মাৰ্চ	এপ্ৰিল	মে’	জুন	জুলাই	আগষ্ট	ছেপ্তেম্বৰ	অক্টোবৰ	নৱেম্বৰ	ডিচেম্বৰ
as	abbreviated	জানু	ফেব্ৰু	মাৰ্চ	এপ্ৰিল	মে’	জুন	জুলাই	আগ	ছেপ্তে	অক্টো	নৱে	ডিচে
asa	wide	Januari	Februari	Machi	Aprili	Mei	Juni	Julai	Agosti	Septemba	Oktoba	Novemba	Desemba
asa	abbreviated	Jan	Feb	Mac	Apr	Mei	Jun	Jul	Ago	Sep	Okt	Nov	Dec
ast	wide	de xineru	de febreru	de marzu	d’abril	de mayu	de xunu	de xunetu	d’agostu	de setiembre	d’ochobre	de payares	d’avientu
ast	abbreviated	xin	feb	mar	abr	may	xun	xnt	ago	set	och	pay	avi
az	wide	yanvar	fevral	mart	aprel	may	iyun	iyul	avqust	sentyabr	oktyabr	noyabr	dekabr
az	abbreviated	yan	fev	mar	apr	may	iyn	iyl	avq	sen	okt	noy	dek
