locale	length	ldml_pattern	normalized	finetype_type	note
ar-SY	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-SY	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-SY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-SY	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-TD	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-TD	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-TD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-TD	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-TN	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-TN	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-TN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-TN	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-YE	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-YE	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-YE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-YE	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
arn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
arn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
arn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
arn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
as	short	d-M-y	d-M-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
as	medium	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
as	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
as	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
asa	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
asa	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
asa	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
asa	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ast	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ast	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ast	long	d MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
ast	full	EEEE, d MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
az	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
az	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
az	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
az	full	d MMMM y, EEEE	d MMMM y, EEEE	datetime.date.weekday_full_month	weekday + full month
az-Arab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
az-Arab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
az-Arab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
az-Arab	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
az-Arab-IQ	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
az-Arab-IQ	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
az-Arab-IQ	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
az-Arab-IQ	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
az-Arab-TR	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
az-Arab-TR	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
az-Arab-TR	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
az-Arab-TR	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
az-Cyrl	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
az-Cyrl	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
az-Cyrl	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
az-Cyrl	full	d MMMM y, EEEE	d MMMM y, EEEE	datetime.date.weekday_full_month	weekday + full month
az-Latn	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
az-Latn	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
az-Latn	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
az-Latn	full	d MMMM y, EEEE	d MMMM y, EEEE	datetime.date.weekday_full_month	weekday + full month
ba	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ba	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ba	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ba	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bal	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bal	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bal	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bal	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bal-Arab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bal-Arab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bal-Arab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bal-Arab	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bal-Latn	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
bal-Latn	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
bal-Latn	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
bal-Latn	full	dd,MM,y	dd,MM,y	datetime.date.eu_slash	DMY comma
bas	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
bas	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
bas	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
bas	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
be	short	d.MM.yy	d.MM.yy	datetime.date.eu_dot	DMY dot
be	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
be	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
be	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
be-tarask	short	d.MM.yy	d.MM.yy	datetime.date.eu_dot	DMY dot
be-tarask	medium	d MMM y 'г'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
be-tarask	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
be-tarask	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
bem	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
bem	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
bem	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
bem	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
bew	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bew	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bew	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bew	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bez	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
bez	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
bez	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
bez	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
bgc	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgc	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgc	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgc	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bgn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bgn-AE	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgn-AE	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgn-AE	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgn-AE	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bgn-AF	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgn-AF	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgn-AF	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgn-AF	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bgn-IR	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgn-IR	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgn-IR	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgn-IR	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bgn-OM	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bgn-OM	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bgn-OM	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bgn-OM	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bho	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bho	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bho	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bho	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
blo	short	M/d/y	M/d/y	datetime.date.us_slash	MDY slash
blo	medium	MMM d y	MMM d y	datetime.date.abbreviated_month	abbreviated month
blo	long	MMMM d y	MMMM d y	datetime.date.long_full_month	full month
blo	full	EEEE, MMMM d y	EEEE, MMMM d y	datetime.date.weekday_full_month	weekday + full month
blt	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
blt	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
blt	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
blt	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bm	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
bm	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
bm	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
bm	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
bm-Nkoo	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bm-Nkoo	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bm-Nkoo	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bm-Nkoo	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
bn	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
bn	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
bn	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
bn	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
bn-IN	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
bn-IN	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
bn-IN	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
bn-IN	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
bo	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bo	medium	y ལོའི་MMMཚེས་d	y ལོའི་MMMཚེས་d	datetime.date.abbreviated_month	abbreviated month
bo	long	སྤྱི་ལོ་y MMMMའི་ཚེས་d	སྤྱི་ལོ་y MMMMའི་ཚེས་d	datetime.date.long_full_month	full month
bo	full	y MMMMའི་ཚེས་d, EEEE	y MMMMའི་ཚེས་d, EEEE	datetime.date.weekday_full_month	weekday + full month
bo-IN	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bo-IN	medium	y ལོའི་MMMཚེས་d	y ལོའི་MMMཚེས་d	datetime.date.abbreviated_month	abbreviated month
bo-IN	long	སྤྱི་ལོ་y MMMMའི་ཚེས་d	སྤྱི་ལོ་y MMMMའི་ཚེས་d	datetime.date.long_full_month	full month
bo-IN	full	y MMMMའི་ཚེས་d, EEEE	y MMMMའི་ཚེས་d, EEEE	datetime.date.weekday_full_month	weekday + full month
br	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
br	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
br	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
br	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
brx	short	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
brx	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
brx	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
brx	full	d MMMM y, EEEE	d MMMM y, EEEE	datetime.date.weekday_full_month	weekday + full month
bs	short	d. M. y.	d. M. y	datetime.date.eu_dot	DMY dot
bs	medium	d. MMM y.	d. MMM y	datetime.date.abbreviated_month	abbreviated month
bs	long	d. MMMM y.	d. MMMM y	datetime.date.long_full_month	full month
bs	full	EEEE, d. MMMM y.	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
bs-Cyrl	short	d.M.yy.	d.M.yy	datetime.date.eu_dot	DMY dot
bs-Cyrl	medium	dd.MM.y.	dd.MM.y	datetime.date.eu_dot	DMY dot
bs-Cyrl	long	dd. MMMM y.	dd. MMMM y	datetime.date.long_full_month	full month
bs-Cyrl	full	EEEE, dd. MMMM y.	EEEE, dd. MMMM y	datetime.date.weekday_full_month	weekday + full month
bs-Latn	short	d. M. y.	d. M. y	datetime.date.eu_dot	DMY dot
bs-Latn	medium	d. MMM y.	d. MMM y	datetime.date.abbreviated_month	abbreviated month
bs-Latn	long	d. MMMM y.	d. MMMM y	datetime.date.long_full_month	full month
bs-Latn	full	EEEE, d. MMMM y.	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
bss	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
bss	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
bss	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
bss	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
byn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
byn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
byn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
byn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ca	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ca	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ca	long	d MMMM 'del' y	d MMMM y	datetime.date.long_full_month	full month
ca	full	EEEE, d MMMM 'del' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ca-AD	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ca-AD	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ca-AD	long	d MMMM 'del' y	d MMMM y	datetime.date.long_full_month	full month
ca-AD	full	EEEE, d MMMM 'del' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ca-ES-valencia	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ca-ES-valencia	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ca-ES-valencia	long	d MMMM 'del' y	d MMMM y	datetime.date.long_full_month	full month
ca-ES-valencia	full	EEEE, d MMMM 'del' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ca-FR	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ca-FR	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ca-FR	long	d MMMM 'del' y	d MMMM y	datetime.date.long_full_month	full month
ca-FR	full	EEEE, d MMMM 'del' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ca-IT	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ca-IT	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ca-IT	long	d MMMM 'del' y	d MMMM y	datetime.date.long_full_month	full month
ca-IT	full	EEEE, d MMMM 'del' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
cad	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
cad	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
cad	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
cad	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
cch	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
cch	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
cch	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
cch	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ccp	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ccp	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ccp	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ccp	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
ccp-IN	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ccp-IN	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ccp-IN	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ccp-IN	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
ce	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ce	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ce	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ce	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ceb	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
ceb	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
ceb	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
ceb	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
cgg	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
cgg	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
cgg	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
cgg	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
cho	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
cho	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
cho	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
cho	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
chr	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
chr	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
chr	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
chr	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
cic	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
cic	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
cic	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
cic	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ckb	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ckb	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ckb	long	dی MMMMی y	dی MMMMی y	datetime.date.long_full_month	full month
ckb	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ckb-IR	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ckb-IR	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ckb-IR	long	dی MMMMی y	dی MMMMی y	datetime.date.long_full_month	full month
ckb-IR	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
co	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
co	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
co	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
co	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
csw	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
csw	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
csw	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
csw	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
cu	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
cu	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
cu	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
cu	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
cv	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
cv	medium	d MMM y 'ҫ'.	d MMM y	datetime.date.abbreviated_month	abbreviated month
cv	long	d MMMM y 'ҫ'.	d MMMM y	datetime.date.long_full_month	full month
cv	full	EEEE, d MMMM y 'ҫ'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
cy	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
cy	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
cy	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
cy	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
