locale	length	ldml_pattern	normalized	finetype_type	note
apc	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
apc	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
apc	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ar-AE	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-AE	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-AE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-AE	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-BH	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-BH	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-BH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-BH	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-DJ	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-DJ	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-DJ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-DJ	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-DZ	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-DZ	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-DZ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-DZ	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-EG	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-EG	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-EG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-EG	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-EH	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-EH	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-EH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-EH	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-ER	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-ER	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-ER	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-ER	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-IL	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-IL	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-IL	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-IL	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-IQ	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-IQ	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-IQ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-IQ	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-JO	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-JO	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-JO	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-JO	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-KM	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-KM	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-KM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-KM	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-KW	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-KW	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-KW	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-KW	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-LB	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-LB	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-LB	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-LB	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-LY	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-LY	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-LY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-LY	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-MA	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-MA	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-MA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-MA	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-MR	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-MR	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-MR	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-MR	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-OM	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-OM	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-OM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
